Date,Open,Low,High,Close,Volume,Amount
2015-02-02 10:04:00,1.09,1.09,1.09,1.09,2000,2180
2015-02-02 10:14:00,1.11,1.11,1.11,1.11,1000,1110
2015-02-02 10:15:00,1.1,1.1,1.1,1.1,62000,68200
2015-02-02 10:18:00,1.1,1.1,1.1,1.1,7000,7700
2015-02-02 10:19:00,1.1,1.1,1.1,1.1,14000,15400
2015-02-02 10:26:00,1.1,1.1,1.1,1.1,5000,5500
2015-02-02 10:32:00,1.1,1.1,1.1,1.1,3000,3300
2015-02-02 10:37:00,1.1,1.1,1.1,1.1,11000,12100
2015-02-02 10:40:00,1.1,1.1,1.1,1.1,63000,69300
2015-02-02 13:33:00,1.1,1.1,1.1,1.1,50000,55000
2015-02-02 13:39:00,1.1,1.1,1.1,1.1,70000,77000
2015-02-02 13:40:00,1.1,1.1,1.1,1.1,106000,116600
2015-02-02 13:43:00,1.1,1.1,1.1,1.1,15000,16500
2015-02-02 13:45:00,1.1,1.1,1.1,1.1,20000,22000
2015-02-02 13:51:00,1.12,1.12,1.12,1.12,1000,1120
2015-02-02 14:57:00,1.1,1.1,1.1,1.1,50000,55000
2015-02-02 14:59:00,1.1,1.1,1.1,1.1,1000,1100
2015-02-02 15:11:00,1.1,1.1,1.1,1.1,5000,5500
2015-02-02 15:48:00,1.1,1.1,1.1,1.1,20000,22000
2015-02-02 15:51:00,1.1,1.1,1.1,1.1,30000,33000
2015-02-03 11:17:00,1.1,1.1,1.1,1.1,10000,11000
2015-02-03 13:20:00,1.11,1.11,1.11,1.11,6000,6650
2015-02-03 13:36:00,1.11,1.11,1.11,1.11,1000,1110
2015-02-03 13:39:00,1.12,1.12,1.12,1.12,1000,1120
2015-02-03 14:05:00,1.12,1.12,1.12,1.12,49000,54800
2015-02-03 14:09:00,1.14,1.14,1.14,1.14,1000,1140
2015-02-03 14:14:00,1.12,1.12,1.12,1.12,21000,23520
2015-02-03 14:15:00,1.14,1.14,1.14,1.14,1000,1140
2015-02-03 14:22:00,1.14,1.14,1.14,1.14,21000,23940
2015-02-03 14:23:00,1.15,1.15,1.15,1.15,1000,1150
2015-02-03 14:24:00,1.15,1.15,1.15,1.15,4000,4600
2015-02-03 14:35:00,1.15,1.15,1.15,1.15,2000,2300
2015-02-03 14:36:00,1.15,1.15,1.16,1.16,15000,17260
2015-02-03 14:37:00,1.16,1.16,1.16,1.16,3000,3480
2015-02-03 14:47:00,1.16,1.16,1.16,1.16,4000,4640
2015-02-03 14:49:00,1.14,1.14,1.14,1.14,19432,21999
2015-02-03 14:52:00,1.14,1.14,1.14,1.14,3000,3420
2015-02-03 14:55:00,1.14,1.14,1.14,1.14,1000,1140
2015-02-03 14:57:00,1.14,1.14,1.14,1.14,53000,59970
2015-02-03 15:11:00,1.13,1.13,1.13,1.13,64000,71780
2015-02-03 15:13:00,1.12,1.12,1.12,1.12,1000,1120
2015-02-03 15:41:00,1.13,1.13,1.13,1.13,1000,1130
2015-02-03 15:50:00,1.14,1.14,1.14,1.14,1000,1140
2015-02-03 15:52:00,1.13,1.13,1.13,1.13,17000,19240
2015-02-03 15:53:00,1.13,1.13,1.13,1.13,6000,6780
2015-02-03 15:56:00,1.13,1.13,1.13,1.13,29000,32770
2015-02-03 15:57:00,1.12,1.12,1.12,1.12,5000,5600
2015-02-04 10:20:00,1.12,1.12,1.12,1.12,14000,15680
2015-02-04 10:26:00,1.14,1.14,1.14,1.14,1000,1140
2015-02-04 10:29:00,1.14,1.14,1.14,1.14,10000,11400
2015-02-04 10:34:00,1.14,1.14,1.14,1.14,27000,30360
2015-02-04 10:35:00,1.14,1.14,1.14,1.14,3000,3420
2015-02-04 10:45:00,1.11,1.11,1.11,1.11,100000,111340
2015-02-04 10:51:00,1.14,1.14,1.14,1.14,6000,6840
2015-02-04 10:55:00,1.13,1.13,1.13,1.13,5000,5650
2015-02-04 11:01:00,1.13,1.13,1.13,1.13,6000,6780
2015-02-04 11:04:00,1.12,1.12,1.12,1.12,205000,225250
2015-02-04 11:11:00,1.12,1.12,1.12,1.12,206000,222000
2015-02-04 11:13:00,1.09,1.09,1.09,1.09,21000,22890
2015-02-04 11:14:00,1.09,1.09,1.1,1.1,9000,9820
2015-02-04 11:21:00,1.07,1.07,1.07,1.07,100000,107000
2015-02-04 11:24:00,1.09,1.09,1.09,1.09,8000,8720
2015-02-04 11:26:00,1.06,1.06,1.06,1.06,200000,212250
2015-02-04 11:27:00,1.09,1.09,1.09,1.09,16000,17440
2015-02-04 11:28:00,1.09,1.09,1.09,1.09,23000,25070
2015-02-04 11:30:00,1.06,1.06,1.09,1.09,177000,188230
2015-02-04 11:31:00,1.09,1.09,1.09,1.09,56000,61040
2015-02-04 11:34:00,1.09,1.09,1.09,1.09,20000,21800
2015-02-04 11:35:00,1.08,1.08,1.08,1.08,4000,4320
2015-02-04 11:41:00,1.09,1.09,1.09,1.09,1000,1090
2015-02-04 11:50:00,1.09,1.09,1.09,1.09,20000,21800
2015-02-04 13:25:00,1.08,1.08,1.08,1.08,3000,3240
2015-02-04 14:07:00,1.09,1.09,1.09,1.09,144000,156960
2015-02-04 14:08:00,1.1,1.1,1.1,1.1,1000,1100
2015-02-04 14:15:00,1.09,1.09,1.09,1.09,4000,4360
2015-02-04 15:28:00,1.09,1.09,1.09,1.09,20000,21800
2015-02-04 15:57:00,1.1,1.1,1.1,1.1,88000,96800
2015-02-04 15:58:00,1.1,1.1,1.11,1.11,115000,127350
2015-02-04 15:59:00,1.12,1.12,1.12,1.12,59000,65320
2015-02-04 16:00:00,1.13,1.13,1.13,1.13,9000,10170
2015-02-05 09:31:00,1.1,1.1,1.1,1.1,7000,7700
2015-02-05 11:09:00,1.11,1.11,1.11,1.11,70000,77700
2015-02-05 11:10:00,1.11,1.11,1.11,1.11,30000,33300
2015-02-05 11:11:00,1.13,1.13,1.13,1.13,1000,1130
2015-02-05 11:12:00,1.13,1.13,1.13,1.13,12000,13560
2015-02-05 11:30:00,1.11,1.11,1.11,1.11,20000,22200
2015-02-05 11:31:00,1.12,1.12,1.12,1.12,17000,19040
2015-02-05 13:02:00,1.12,1.12,1.12,1.12,4000,4480
2015-02-05 13:03:00,1.12,1.12,1.12,1.12,6000,6720
2015-02-05 13:13:00,1.13,1.13,1.13,1.13,3000,3390
2015-02-05 13:16:00,1.11,1.11,1.11,1.11,6000,6660
2015-02-05 13:18:00,1.13,1.13,1.13,1.13,3000,3390
2015-02-05 13:23:00,1.12,1.12,1.12,1.12,6000,6720
2015-02-05 13:35:00,1.12,1.12,1.12,1.12,10000,11200
2015-02-05 14:10:00,1.11,1.11,1.11,1.11,100000,111000
2015-02-05 14:11:00,1.11,1.11,1.11,1.11,47000,52170
2015-02-05 14:14:00,1.11,1.11,1.11,1.11,53000,58830
2015-02-05 14:15:00,1.12,1.12,1.12,1.12,20000,22400
2015-02-05 14:25:00,1.11,1.11,1.11,1.11,4000,4440
2015-02-05 14:33:00,1.11,1.11,1.11,1.11,150000,166500
2015-02-05 14:44:00,1.11,1.11,1.11,1.11,12000,13320
2015-02-05 14:48:00,1.12,1.12,1.12,1.12,73000,81760
